event,ID,default,Prepayment,vintage,cred_score,DBT_RATIO,start_date,end_date
2,1901511003149000,0,1,2001,688,0.31,01Dec2005,01Jan2006
2,1901511125929000,0,1,2007,769,0.31,01Jun2007,01Oct2007
2,1901511200139000,0,1,2002,764,0.25,01Dec2005,01Oct2007
2,1901511209199000,0,1,2002,690,0.39,01Dec2005,01Jan2006
2,1901511445599000,0,1,2004,682,0.28,01Dec2005,01Aug2006
2,1901512338619000,0,1,2005,801,0.51,01Dec2005,01Mar2008
2,1901512621609000,0,1,2006,788,0.05,01Mar2006,01Aug2009
2,1901513568079000,0,1,2004,582,0.34,01Dec2005,01Jan2006
2,1901514235989000,0,1,2003,764,0.13,01Dec2005,01Jan2006
2,1901514266789000,0,1,2003,791,0.27,01Dec2005,01Jan2006
0,1901514361509000,0,0,2007,657,0.39,01Dec2007,
2,1901514368199000,0,1,2003,738,0.34,01Dec2005,01Jan2006
2,1901514587239000,0,1,2001,659,0.35,01Dec2005,01Jan2006
0,1901514626669000,0,0,2004,751,0.36,01Dec2005,
0,1901514639219000,0,0,2001,700,0.37,01Dec2005,
2,1901514952469000,0,1,2005,670,0.28,01Dec2005,01Jan2006
2,1901515422289000,0,1,2004,632,0.2,01Dec2005,01Jan2006
2,1901515718999000,0,1,2004,739,0.19,01Dec2005,01Jan2006
2,1901516971329000,0,1,2003,718,0.31,01Dec2005,01Jan2006
2,1901517147469000,0,1,2001,768,0.24,01Dec2005,01Jan2006
2,1901517327529000,0,1,2003,724,0.37,01Dec2005,01Apr2011
2,1901517367909000,0,1,2005,657,0.34,01Dec2005,01Jan2006
2,1901517721429000,0,1,2002,688,0.38,01Dec2005,01Jan2006
2,1901517788419000,0,1,2005,721,0.43,01Dec2005,01Jan2006
2,1901517817379000,0,1,2001,736,0.3,01Dec2005,01Jan2006
2,1901517835869000,0,1,2003,762,0.22,01Dec2005,01Nov2006
2,1901517983709000,0,1,2005,709,0.31,01Dec2005,01Mar2008
2,1901518871609000,0,1,2006,639,0.09,01Sep2006,01Jan2011
1,1901519344799000,1,0,2004,645,0.15,01Dec2005,01Jul2007
2,1901519414759000,0,1,2002,736,0.17,01Dec2005,01Mar2006
